Name,Nation,Rank,Rating,Type,Premium,RP,Price,Free,Surv.Mods,Armour.Hull.front,Armour.Hull.side,Armour.Hull.back,Armour.Turret.front,Armour.Turret.side,Armour.Turret.back,Crew,Visibility,Speed.Forward,Speed.Back,HP,HP/t,Weight,Eco.Repair,Eco.Reward.Lions,Eco.Reward.RP,Arma.Mods,Arma.Main.Caliber,Arma.Main.Ammo,Arma.Main.Rate,Arma.Main.Reload,Arma.Main.Mods,Arma.Main.Penetration,MG.1st.Caliber,MG.1st.Ammo,MG.1st.Rate,MG.1st.Reload,MG.2nd.Caliber,MG.2nd.Ammo,MG.2nd.Rate,MG.2nd.Reload,PROS_CONS.Pros,PROS_CONS.Cons,PROS_CONS.Ratio
AEC Mk II,Britain,II,"3,0",Light tank,•,0,0,Bundle or Gift,Smoke grenades,17,25,14,31,25,20,4,90,76,10,315,"24,6","12,8",2000,"1,0","2,48",,"57,0",60,,"5,2",Shoulder stabilizer,127,"7,92",3375,600,"10,4",,,,,5,4,1.25
AMC.34 YR,France,I,"1,0",Light tank,,2900,700,,,20,18,10,35,35,35,2,88,45,7,229,"23,6","9,7",90→115,"0,2","1,0",,"47,0",76,,"7,8",Shoulder stabilizer,26,"7,5",1800,551,"6,5",,,,,3,6,0.5
AMC.35 (ACG.1),France,I,"1,3",Light tank,,2900,700,,,25,20,15,25,25,25,3,88,47,7,343,"23,7","14,5",90→115,"0,1","1,0",,"47,0",96,,"3,9",Shoulder stabilizer,59,"7,5",1800,551,"6,5",,,,,6,7,0.86
AML-90,France,IV,"6,7",Light tank,,82000,240000,,Smoke grenades,10,10,10,12,10,10,3,84,101,20,172,"31,3","5,5",3560→5169,"1,1","1,84",,"90,0",20,,"8,7",,320,"7,62",2150,900,"10,4","7,62",800,900,"10,4",5,7,0.71
AML-90,Israel,IV,"6,7",Light tank,,82000,240000,,Smoke grenades,10,10,10,12,10,10,3,84,101,20,172,"31,3","5,5",3400→4936,"1,0","1,84",,"90,0",20,,"8,7",,320,"7,62",2150,900,"10,4","7,62",800,900,"10,4",1,1,1.0
AMX-10RC,France,VI,"8,0",Light tank,,180000,500000,,Smoke grenades,45,20,25,42,42,25,4,94,95,95,534,"33,4","16,0",4420→7107,"1,1","2,14",Laser rangefinder | Night vision device | Thermal imager,"105,0",38,,"9,7",,350,"7,62",2000,900,"10,4","7,62",2000,900,"10,4",7,6,1.17
AMX-13,France,IV,"6,3",Light tank,,63000,200000,,Smoke grenades,40,20,15,40,20,20,3,79,67,8,515,"35,0","14,7",3600→5173,"1,1","1,72",,"75,0",36,,"5,0",Autoloader,198,"7,5",4950,551,"5,0",,,,,11,9,1.22
AMX-13 (FL11),France,III,"4,0",Light tank,,18000,77000,,Smoke grenades,40,20,15,40,20,20,3,79,67,8,515,"33,2","15,5",1000→1437,"0,4","1,36",,"75,0",37,,"7,8",,101,"7,5",4950,551,"6,5",,,,,8,9,0.89
AMX-13-90,France,V,"7,3",Light tank,,110000,310000,,Smoke grenades,40,20,15,40,20,20,3,79,67,8,515,"33,2","15,5",4580→6581,"1,0","1,96",,"90,0",36,,"5,0",Autoloader,320,"7,5",4950,551,"5,0",,,,,3,2,1.5
AMX-13 (HOT),France,VI,"8,0",Light tank,,220000,590000,,Smoke grenades,40,20,15,40,20,20,3,79,67,8,515,"33,2","15,5",2900→4167,"1,2","2,2",,"75,0",36,,"5,0",Autoloader,700,,6,,,"7,5",4950,551,"5,0",3,6,0.5
AMX-13-M24,France,II,"3,3",Light tank,•,0,1150,,Smoke grenades,20,20,15,38,25,25,4,79,67,8,515,"33,2","15,5",1440,"1,0","2,6",,"75,0",37,,"8,4",,101,"12,7",1000,577,"10,4","7,62",1800,500,"10,4",9,8,1.12
AMX-13,Israel,IV,"6,3",Light tank,,63000,200000,,Smoke grenades,40,20,15,40,20,20,3,79,67,8,515,"35,0","14,7",2750→3951,"0,9","1,72",,"75,0",36,,"5,0",Autoloader,198,"7,5",4950,551,"5,0",,,,,1,1,1.0
AMX-13 (SS.11),France,IV,"6,7",Light tank,•,0,7480,,Smoke grenades,40,20,20,40,20,20,3,79,67,8,515,"33,2","15,5",3000,"1,8","3,8",,"75,0",36,,"5,0",Autoloader,600,,4,,,"7,5",4950,551,"5,0",0,12,0.0
AUBL/74,Italy,IV,"6,3",Light tank,,82000,240000,,Smoke grenades,8,8,8,15,8,8,3,69,112,22,305,"37,2","8,2",2860→4495,"1,1","1,84",Night vision device,"90,0",32,,"8,7",,250,"7,62",800,1200,"10,4",,,,,7,5,1.4
AUBL/74 HVG,Italy,V,"7,7",Light tank,•,0,0,Bundle or Gift,Smoke grenades,8,8,8,15,8,8,3,69,112,22,305,"35,1","8,7",3150,"1,6","4,16",Night vision device,"60,0",38,,"7,8",Two-plane stabilizer,246,"7,62",800,1200,"10,4","7,62",1500,600,"10,4",13,10,1.3
BA-11,USSR,I,"1,3",Light tank,•,0,0,Bundle or Gift,,13,13,13,13,13,13,4,84,72,10,172,"21,2","8,1",530,"0,4","2,0",,"45,0",114,,"3,8",,71,"7,62",1890,600,"10,4",,,,,3,5,0.6
Begleitpanzer 57,Germany,VI,"9,3",Light tank,,220000,590000,,,32,15,11,25,15,15,3,89,79,79,1374,"45,8","30,0",4460→7466,"0,9","2,2",,"57,0",148,,"0,3",Two-plane stabilizer | Autoloader,630,,6,,,,6,,,6,6,1.0
BMD-4,USSR,VI,"8,3",Light tank,,0,0,Bundle or Gift,Smoke grenades | ESS,40,20,15,40,20,20,3,78,78,79,859,"63,2","13,6",2640→4472,"0,9","2,26",Laser rangefinder | Night vision device | Thermal imager,"30,0",500,330,"1,0",Two-plane stabilizer,750,"100,0",38,,"5,0","7,62",2000,700,"8,0",9,5,1.8
BMP-1,USSR,V,"7,3",Light tank,,110000,310000,,Smoke grenades | ESS,19,18,16,23,19,13,3,70,73,13,572,"44,0","13,0",3110→5476,"1,1","1,96",,"73,0",40,,"6,0",Autoloader,500,,4,,,,4,,,9,9,1.0
BMP-2,USSR,VI,"8,3",Light tank,,180000,500000,,Smoke grenades | ESS,15,15,13,20,16,10,3,70,72,12,572,"40,9","14,0",2980→5176,"1,1","2,14",Night vision device,"30,0",500,550,"1,3",Two-plane stabilizer,500,,4,,,"7,62",2000,700,"10,4",6,5,1.2
BMP-3,USSR,VI,"8,3",Light tank,,220000,590000,,Smoke grenades | ESS | Self-entrenching equipment,60,43,13,50,43,43,3,79,78,23,954,"51,0","18,7",2860→5391,"1,0","2,2",Laser rangefinder | Night vision device | Thermal imager,"100,0",48,,"4,0",Two-plane stabilizer | Autoloader,750,"30,0",500,330,"1,0","7,62",2000,700,"8,0",8,6,1.33
BMP-2M,USSR,VI,"8,7",SQUADRON,,480000,740000,,Smoke grenades | ESS,15,15,13,20,16,10,3,70,72,12,687,"47,4","14,5",1400→2371,"1,0","2,26",Laser rangefinder | Night vision device | Thermal imager,"30,0",300,401,"1,3",,79,"30,0",500,550,"1,3",,8,120,,10,5,2.0
BT-5,USSR,I,"1,0",Light tank,,0,0,Free,,13,15,13,20,15,15,3,77,60,12,696,"60,0","11,6",free,"0,1","1,0",,"45,0",86,,"3,8",,71,"7,62",1890,600,"10,4",,,,,5,2,2.5
BT-7,USSR,I,"1,3",Light tank,,4000,2100,,,20,15,13,15,15,13,3,84,60,12,763,"55,7","13,7",140→180,"0,1","1,0",,"45,0",188,,"3,8",,71,"7,62",1890,600,"10,4",,,,,5,5,1.0
BT-7 TD,USSR,I,"1,3",Light tank,,0,0,Bundle or Gift,,20,15,13,15,15,13,3,84,60,12,763,"55,7","13,7",280→360,"0,1","1,0",,"45,0",188,,"3,8",,71,"7,62",1890,600,"10,4",,,,,6,5,1.2
BT-7A (F-32),USSR,II,"3,3",Light tank,•,0,0,Bundle or Gift,,20,15,13,15,15,13,3,84,60,12,763,"55,7","13,7",1400,"1,0","2,48",,"76,0",50,,"8,1",,84,"7,62",1890,600,"10,4","7,62",1890,600,"10,4",8,7,1.14
BT-7M,USSR,I,"2,0",Light tank,,5900,6300,,,20,15,13,15,15,13,3,84,60,12,954,"67,2","14,2",190→244,"0,2","1,06",,"45,0",188,,"3,8",,71,"7,62",1890,600,"10,4",,,,,5,5,1.0
C13 T90,Italy,V,"6,7",Light tank,,95000,270000,,Smoke grenades,50,38,38,8,8,8,3,88,78,16,687,"48,0","14,3",3300→4742,"1,0","1,9",,"90,0",28,,"8,7",,250,"7,62",2000,600,"10,4","7,62",2000,600,"10,4",3,2,1.5
Centauro I 105,Italy,VI,"8,7",Light tank,,180000,500000,,Smoke grenades | LWS,35,25,20,25,25,15,4,84,123,45,992,"39,5","25,1",3800→6110,"1,0","2,14",Laser rangefinder | Night vision device | Thermal imager,"105,0",40,,"8,7",Two-plane stabilizer,400,"7,62",4500,1200,"10,4","7,62",2000,1200,"10,4",16,7,2.29
Centauro I 105 R,Italy,VI,"9,0",Light tank,,220000,590000,,ERA | LWS,35,25,20,25,25,15,4,84,123,45,992,"35,4","28,0",4090→6208,"1,0","2,2",Laser rangefinder | Night vision device | Thermal imager,"105,0",40,,"8,7",Two-plane stabilizer,405,"7,62",4500,1200,"10,4","7,62",2000,1200,"10,4",4,6,0.67
Centauro I 120,Italy,VII,"10,7",Light tank,,390000,1060000,,Smoke grenades | LWS,20,15,15,20,20,20,4,136,123,45,992,"39,5","25,1",2700→4341,"1,4","2,38",Laser rangefinder | Night vision device | Thermal imager,"120,0",33,,"6,5",Two-plane stabilizer,586,"12,7",1080,577,"10,4","7,62",4500,1200,"10,4",8,8,1.0
Char 25t,France,IV,"6,7",Light tank,,71000,210000,,Smoke grenades,50,25,30,50,25,20,4,82,73,73,954,"37,6","25,4",3900→5604,"0,9","1,78",,"90,0",52,,"6,7",Autoloader,207,"7,5",4950,551,"5,0","7,5",1200,551,"5,0",11,6,1.83
Class 3 (P),Germany,VI,"8,7",Light tank,,0,0,Bundle or Gift,Smoke grenades,67,20,20,122,50,20,4,136,96,39,1500,"36,6","41,0",3660→5885,"1,0","2,26",Laser rangefinder | Night vision device,"105,0",54,,"8,7",Two-plane stabilizer,405,"7,62",3000,500,"10,4","7,62",2000,500,"10,4",6,3,2.0
Concept 3,Britain,III,"4,3",Light tank,,33000,140000,,,25,12,12,25,12,12,4,96,92,92,399,"27,5","14,5",930→1280,"0,6","1,48",,"77,0",60,,"7,6",,149,"7,62",2500,500,"10,4",,,,,4,6,0.67
"Crusader ""The Saint""",Britain,II,"2,3",Light tank,•,0,700,,Smoke grenades,20,14,14,30,28,30,5,76,47,8,649,"39,8","16,3",920,"0,8","2,24",,"40,0",110,,"3,6",Shoulder stabilizer,86,"7,92",3375,600,"10,4","7,92",4950,600,"10,4",5,4,1.25
Crusader II,Britain,II,"2,3",Light tank,,7900,10000,,Smoke grenades,20,14,14,30,28,30,5,76,47,8,649,"39,8","16,3",370→531,"0,3","1,12",,"40,0",110,,"3,6",Shoulder stabilizer,86,"7,92",3375,600,"10,4","7,92",4950,600,"10,4",7,4,1.75
Crusader III,Britain,II,"3,0",Light tank,,9200,22000,,Smoke grenades,20,14,14,30,28,28,3,76,47,8,649,"32,0","20,3",440→632,"0,3","1,18",,"57,0",65,,"5,2",Shoulder stabilizer,118,"7,92",3375,600,"10,4",,,,,6,3,2.0
CV 90105 TML,Sweden,VI,"9,0",Light tank,•,0,0,Bundle or Gift,Smoke grenades,20,16,20,35,20,20,4,115,78,51,1049,"47,9","21,9",4560,"2,0","4,52",Laser rangefinder | Night vision device | Thermal imager,"105,0",40,,"8,7",Two-plane stabilizer,400,"7,62",1200,600,"10,4",,,,,13,11,1.18
CV 90120,Sweden,VII,"10,7",Light tank,,340000,930000,,Smoke grenades | LWS,20,14,20,20,20,20,4,115,88,57,1526,"55,1","27,7",3800→6053,"1,0","2,32",Laser rangefinder | Night vision device | Thermal imager,"120,0",45,,"5,0",Two-plane stabilizer | Autoloader,598,"12,7",1200,577,"8,0",,,,,8,8,1.0
Daimler Mk II,Britain,I,"1,3",Light tank,,4000,2100,,Smoke grenades,14,10,14,16,14,10,3,76,89,41,181,"23,8","7,6",140→191,"0,1","1,0",,"40,0",52,,"3,6",Shoulder stabilizer,86,"7,92",500,600,"10,4",,,,,7,6,1.17
Dardo,Italy,VI,"9,3",Light tank,,270000,740000,,Smoke grenades | LWS,72,52,38,40,40,40,3,88,78,36,992,"42,2","23,5",4700→7487,"0,9","2,26",Laser rangefinder | Night vision device | Thermal imager,"25,0",400,561,"10,4",Two-plane stabilizer,800,,8,120,,"7,62",1200,1200,"10,4",4,3,1.33
DF105,Germany,V,"7,3",Light tank,,130000,370000,,Smoke grenades,32,15,11,30,25,15,3,89,79,79,1374,"45,8","30,0",2700→3879,"1,0","2,02",,"105,0",38,,"5,0",Autoloader,400,"7,62",2000,600,"8,0",,,,,3,1,3.0
E.B.R. (1951),France,III,"4,3",Light tank,,26000,110000,,Smoke grenades,20,15,20,40,20,20,4,93,117,117,382,"30,6","12,5",800→1161,"0,6","1,42",,"75,0",47,,"7,8",,101,"7,5",4950,551,"6,5",,,,,5,5,1.0
E.B.R. (1954),France,III,"5,7",Light tank,•,0,0,Bundle or Gift,Smoke grenades,20,15,15,40,20,20,4,93,117,117,382,"25,1","15,2",750,"1,2","2,96",,"75,0",36,,"5,0",Autoloader,178,"7,5",4950,551,"5,0",,,,,7,7,1.0
▄Crusader Mk.II,France,II,"2,3",Light tank,,7900,10000,,Smoke grenades,20,14,14,30,28,30,5,76,47,8,649,"39,8","16,3",410→589,"0,2","1,12",,"40,0",110,,"3,6",Shoulder stabilizer,86,"7,92",3375,600,"10,4","7,92",4950,600,"10,4",7,5,1.4
E.B.R. (1963),France,IV,"7,0",Light tank,•,0,0,Bundle or Gift,Smoke grenades,20,15,15,40,20,20,4,93,117,117,382,"28,3","13,5",2510,"1,6","3,8",,"90,0",47,,"8,7",,320,"7,5",4950,551,"6,5",,,,,5,7,0.71
H.39,France,I,"1,0",Light tank,,0,0,Free,,40,40,40,45,40,40,2,75,41,8,229,"18,9","12,1",free,"0,1","1,0",,"37,0",76,,"5,2",Shoulder stabilizer,50,"7,5",2400,551,"6,5",,,,,7,7,1.0
Eland 90 Mk.7,Britain,IV,"6,7",Light tank,,82000,240000,,Smoke grenades,10,10,10,12,10,10,3,88,100,20,172,"28,7","6,0",3420→4965,"1,2","1,84",,"90,0",29,,"8,7",,320,"7,62",3600,500,"10,4","7,62",2000,500,"10,4",7,8,0.88
FCM.36,France,I,"1,0",Light tank,,2900,700,,,40,20,20,40,40,40,2,88,27,4,200,"16,1","12,4",90→115,"0,2","1,0",,"37,0",102,,"4,1",Shoulder stabilizer,33,"7,5",3000,551,"6,5",,,,,4,4,1.0
FIAT 6614,Italy,IV,"6,3",Light tank,,63000,200000,,Smoke grenades,8,8,8,0,0,0,4,62,112,22,277,"33,8","8,2",3020→4385,"1,0","1,72",,"106,0",17,,"13,0",,433,"12,7",120,300,"3,2",,,,,7,2,3.5
H.35,France,I,"1,0",Light tank,,2900,700,,,34,34,34,45,40,40,2,73,32,6,143,"13,5","10,6",80→102,"0,2","1,0",,"37,0",76,,"4,1",Shoulder stabilizer,33,"7,5",2400,551,"6,5",,,,,4,6,0.67
"H.39 ""Cambronne""",France,I,"1,0",Light tank,•,0,250,,,40,40,40,45,40,40,2,75,41,8,229,"18,9","12,1",300,"0,4","1,5",,"37,0",76,,"5,2",Shoulder stabilizer,50,"7,5",2400,551,"6,5",,,,,8,6,1.33
Ha-Go,Japan,I,"1,0",Light tank,,2900,700,,,12,12,10,30,12,12,3,75,54,6,229,"29,7","7,7",90→115,"0,1","1,0",,"37,0",119,,"4,3",Shoulder stabilizer,33,"7,7",3000,499,"3,9",,,,,4,5,0.8
Ha-Go Commander,Japan,I,"1,0",Light tank,•,0,250,,Smoke grenades,12,12,10,30,12,12,3,75,54,6,229,"29,7","7,7",220,"0,4","1,5",,"37,0",119,,"4,3",Shoulder stabilizer,33,"7,7",3000,499,"3,9",,,,,5,6,0.83
I-Go Ko,Japan,I,"1,0",Light tank,,0,0,Free,,17,17,17,17,15,15,4,75,30,5,225,"20,3","11,1",free,"0,1","1,0",,"57,0",100,,"4,3",Shoulder stabilizer,55,"6,5",3000,499,"3,9",,,,,6,6,1.0
Ikv 91,Sweden,IV,"7,0",Light tank,,82000,240000,,Smoke grenades,12,12,8,8,12,12,4,84,72,13,630,"38,7","16,3",3690→5416,"1,0","1,84",Laser rangefinder,"90,0",59,,"7,8",,400,"8,0",2000,649,"10,4","8,0",2250,649,"10,4",4,2,2.0
Ikv 91-105,Sweden,VI,"8,3",Light tank,,180000,500000,,Smoke grenades,12,12,8,8,12,12,4,84,72,13,687,"36,7","18,7",4420→7041,"0,9","2,14",Laser rangefinder | Night vision device,"105,0",40,,"8,7",Two-plane stabilizer,335,"8,0",2000,649,"10,4","8,0",2250,649,"10,4",5,4,1.25
JaPz.K A2,Germany,VI,"8,3",Light tank,,220000,590000,,Smoke grenades,20,14,12,40,20,20,3,88,66,10,611,"33,9","18,0",3400→5416,"1,1","2,2",Laser rangefinder | Night vision device | Thermal imager,"105,0",38,,"4,0",Autoloader,400,"7,62",1000,1200,"8,0",,,,,6,8,0.75
HSTV-L,USA,VII,"10,3",Light tank,,340000,930000,,Smoke grenades,38,38,19,25,25,25,3,88,93,28,1240,"62,0","20,0",4500→7168,"1,1","2,32",Laser rangefinder | Night vision device | Thermal imager,"75,0",26,,"1,5",Two-plane stabilizer | Autoloader,269,"7,62",1600,941,"8,0","7,62",1600,941,"8,0",7,5,1.4
Ka-Mi,Japan,I,"1,0",Light tank,,2900,700,,,12,10,10,30,12,12,4,75,45,12,219,"24,1","9,1",90→115,"0,1","1,0",,"37,0",132,,"5,2",Shoulder stabilizer,54,"2,0",7000,499,"3,9","7,7",1000,499,"3,9",8,8,1.0
Ke-Ni,Japan,I,"1,0",Light tank,,0,0,Free,,26,12,12,16,12,10,3,75,50,8,248,"35,4","7,0",free,"0,1","1,0",,"37,0",110,,"4,3",Shoulder stabilizer,44,"7,7",3000,499,"3,9",,,,,10,5,2.0
L6/40,Italy,I,"1,3",Light tank,,5900,6300,,,30,15,15,30,15,15,2,74,47,8,130,"19,1","6,8",270→347,"0,2","1,06",,"20,0",280,240,"7,8",,31,"8,0",1524,600,"10,4",,,,,4,5,0.8
leKPz M41,Germany,IV,"6,3",Light tank,,71000,210000,,Smoke grenades,31,25,19,25,25,25,4,88,81,21,954,"41,5","23,0",2530→3936,"1,2","1,78",Night vision device,"76,0",65,,"7,6",,254,"12,7",2175,577,"10,4","7,62",4900,500,"10,4",8,6,1.33
LVT(A)(1),USA,I,"1,0",Light tank,,0,0,Free,,12,6,6,50,12,12,6,133,45,6,477,"32,0","14,9",free,"0,1","1,0",,"37,0",104,,"3,7",Vertical stabilizer,84,"2,0",6000,500,"10,4","7,62",3000,500,"10,4",11,10,1.1
LVT(A)(4),USA,I,"1,3",Light tank,•,0,0,Bundle or Gift,,12,6,6,38,25,25,5,133,45,6,477,"26,4","18,1",740,"0,4","2,0",,"75,0",100,,"4,3",,89,"12,7",400,577,"10,4",,,,,8,7,1.14
LVT-4/40,France,II,"3,3",Light tank,•,0,0,Bundle or Gift,,12,6,6,6,6,0,5,133,45,6,477,"28,1","17,0",260,"0,8","2,24",,"40,0",384,120,"0,6",,58,"2,0",2400,577,"10,4",,,,,5,5,1.0
M1128,USA,VII,"9,3",Light tank,,340000,930000,,Smoke grenades,12,12,12,12,12,12,3,167,108,14,668,"28,5","23,4",2900→4663,"1,1","2,32",Laser rangefinder | Night vision device | Thermal imager,"105,0",18,,"7,5",Two-plane stabilizer | Autoloader,519,"12,7",400,577,"8,0","7,62",3400,941,"8,0",9,9,1.0
"M18 ""Black Cat""",USA,III,"4,7",Light tank,•,0,2980,,,12,12,12,25,12,12,5,82,81,26,763,"43,1","17,7",2300,"1,4","3,2",,"76,0",45,,"7,9",,186,"12,7",800,577,"10,4",,,,,5,8,0.62
␗M18,China,III,"4,7",Light tank,,40000,150000,,,12,12,12,25,12,12,5,82,81,26,763,"43,1","17,7",1400→1909,"0,7","1,54",,"76,0",45,,"7,9",,146,"12,7",800,577,"10,4",,,,,5,8,0.62
▄M18,Italy,III,"4,7",Light tank,,40000,150000,,,12,12,12,25,12,12,5,82,81,26,763,"43,1","17,7",3300→4501,"0,6","1,54",,"76,0",45,,"7,9",,146,"12,7",800,577,"10,4",,,,,5,7,0.71
M18 GMC,USA,III,"4,7",Light tank,,33000,140000,,,12,12,12,25,12,12,5,82,81,26,763,"43,1","17,7",1300→1773,"0,6","1,48",,"76,0",45,,"7,9",,186,"12,7",800,577,"10,4",,,,,7,6,1.17
M22,USA,I,"1,7",Light tank,,5900,6300,,,25,12,12,25,25,25,3,62,63,12,366,"49,5","7,4",270→347,"0,2","1,06",,"37,0",50,,"3,7",,84,"7,62",3000,500,"10,4",,,,,6,7,0.86
M24,USA,II,"3,3",Light tank,,14000,55000,,Smoke grenades,25,25,19,25,25,25,5,97,63,26,565,"30,7","18,4",770→1106,"0,5","1,3",,"75,0",48,,"8,4",Vertical stabilizer,101,"12,7",1000,577,"10,4","7,62",1800,500,"10,4",9,6,1.5
␗M24,China,II,"3,3",Light tank,,14000,55000,,Smoke grenades,25,25,19,25,25,25,5,97,63,26,565,"30,7","18,4",630→905,"0,5","1,3",,"75,0",48,,"8,4",Vertical stabilizer,101,"12,7",1000,577,"10,4","7,62",1800,500,"10,4",10,6,1.67
▄M24,Italy,II,"3,3",Light tank,,14000,55000,,Smoke grenades,25,25,19,25,25,25,5,97,63,26,565,"30,7","18,4",1000→1437,"0,4","1,3",,"75,0",48,,"8,4",Vertical stabilizer,101,"12,7",1000,577,"10,4","7,62",1800,500,"10,4",9,6,1.5
▅M24,Japan,III,"3,3",Light tank,,26000,110000,,Smoke grenades,25,25,19,25,25,25,5,97,63,26,565,"30,7","18,4",1200→1724,"0,4","1,42",,"75,0",48,,"8,4",Vertical stabilizer,101,"12,7",1000,577,"10,4","7,62",1800,500,"10,4",9,6,1.5
M24 (TL),USA,II,"3,3",Light tank,,0,0,Bundle or Gift,Smoke grenades,25,25,19,25,25,25,5,97,63,26,565,"30,7","18,4",1700→2442,"0,4","1,3",,"75,0",48,,"8,4",Vertical stabilizer,135,"12,7",1000,577,"10,4","7,62",1800,500,"10,4",11,6,1.83
M3A3 (1st PTG),China,II,"2,3",Light tank,•,0,700,,Smoke grenades,25,25,25,38,31,31,4,89,65,8,500,"39,7","12,6",330,"0,8","2,24",,"37,0",174,,"3,7",Vertical stabilizer,84,"7,62",4300,500,"10,4",,,,,5,4,1.25
M2A4,USA,I,"1,0",Light tank,,0,0,Free,,25,25,25,25,25,25,4,79,64,8,500,"43,5","11,5",free,"0,1","1,0",,"37,0",103,,"3,7",Shoulder stabilizer,72,"4,0",21000,500,"10,4","7,62",3000,500,"10,4",5,10,0.5
M2A4 (1st Arm.Div.),USA,I,"1,0",Light tank,•,0,250,,,25,25,25,25,25,25,4,79,64,8,500,"43,5","11,5",260,"0,4","1,5",,"37,0",103,,"3,7",Shoulder stabilizer,72,"4,0",21000,500,"10,4","7,62",3000,500,"10,4",5,9,0.56
M3A1 (USMC),USA,I,"2,0",Light tank,•,0,0,Bundle or Gift,,38,25,25,50,32,32,4,89,65,8,500,"39,7","12,6",580,"0,4","2,0",,"37,0",106,,"3,7",Vertical stabilizer,84,"7,62",3000,500,"10,4","7,62",3200,500,"10,4",7,4,1.75
M2A2,USA,I,"1,0",Light tank,,2900,700,,,15,12,6,15,15,15,4,79,81,10,500,"57,5","8,7",90→115,"0,1","1,0",,"12,7",1400,577,"10,4",Shoulder stabilizer,26,"2,0",19000,500,"10,4",,,,,4,8,0.5
M3 Bradley,USA,VI,"8,0",Light tank,,220000,590000,,Smoke grenades | ESS,38,44,44,25,25,25,3,117,74,16,967,"43,4","22,3",2300→3801,"1,3","2,2",Night vision device | Thermal imager,"25,0",1500,201,"0,3",Two-plane stabilizer,430,,12,120,,"7,62",4400,941,"10,4",10,13,0.77
